iteration,pair,metric,value
0,rwr_vs_ctqw,procrustes,1.463253749948091
0,rwr_vs_ctqw,cca_corr,0.9766621438563063
0,rwr_vs_ctqw,rsa_corr,0.5755568316779386
0,rwr_vs_ctqw,knn_overlap,0.6870967741935483
0,spectral,rwr,48.46463059422385
0,spectral,ctqw,53.55815177904734
0,spectral,dtqw,59.33951065703264
0,spectral,node2vec,26.615873954309272
0,rwr_vs_dtqw,procrustes,1.4748783762985416
0,rwr_vs_dtqw,cca_corr,0.962951672780715
0,rwr_vs_dtqw,rsa_corr,0.5055438397475756
0,rwr_vs_dtqw,knn_overlap,0.4989247311827957
0,rwr_vs_node2vec,procrustes,1.135140400684723
0,rwr_vs_node2vec,cca_corr,0.9850790562158884
0,rwr_vs_node2vec,rsa_corr,0.29920812621748105
0,rwr_vs_node2vec,knn_overlap,0.7096774193548387
0,ctqw_vs_dtqw,procrustes,1.4226608858790697
0,ctqw_vs_dtqw,cca_corr,0.9581510757153808
0,ctqw_vs_dtqw,rsa_corr,0.4736908986224589
0,ctqw_vs_dtqw,knn_overlap,0.46559139784946235
0,ctqw_vs_node2vec,procrustes,1.1390263218083359
0,ctqw_vs_node2vec,cca_corr,0.9808614932829587
0,ctqw_vs_node2vec,rsa_corr,0.44152555027454304
0,ctqw_vs_node2vec,knn_overlap,0.653763440860215
0,dtqw_vs_node2vec,procrustes,1.1079985230145093
0,dtqw_vs_node2vec,cca_corr,0.9665709528473796
0,dtqw_vs_node2vec,rsa_corr,0.34720015585937714
0,dtqw_vs_node2vec,knn_overlap,0.46559139784946246
1,rwr_vs_ctqw,procrustes,1.4253905632224673
1,rwr_vs_ctqw,cca_corr,0.9761856429661956
1,rwr_vs_ctqw,rsa_corr,0.5737269061939161
1,rwr_vs_ctqw,knn_overlap,0.7075268817204299
1,spectral,rwr,48.630155755874
1,spectral,ctqw,52.9691773450422
1,spectral,dtqw,59.30008121466476
1,spectral,node2vec,27.15412275912683
1,rwr_vs_dtqw,procrustes,1.4847885449422
1,rwr_vs_dtqw,cca_corr,0.956867044938669
1,rwr_vs_dtqw,rsa_corr,0.49568276290586566
1,rwr_vs_dtqw,knn_overlap,0.4698924731182796
1,rwr_vs_node2vec,procrustes,1.1501612253273987
1,rwr_vs_node2vec,cca_corr,0.9843476020495221
1,rwr_vs_node2vec,rsa_corr,0.2627424406214607
1,rwr_vs_node2vec,knn_overlap,0.6967741935483869
1,ctqw_vs_dtqw,procrustes,1.4681143715112512
1,ctqw_vs_dtqw,cca_corr,0.9546399444148111
1,ctqw_vs_dtqw,rsa_corr,0.45814897257009063
1,ctqw_vs_dtqw,knn_overlap,0.4268817204301076
1,ctqw_vs_node2vec,procrustes,1.144316677620647
1,ctqw_vs_node2vec,cca_corr,0.9827079624272705
1,ctqw_vs_node2vec,rsa_corr,0.41633478628365883
1,ctqw_vs_node2vec,knn_overlap,0.6526881720430107
1,dtqw_vs_node2vec,procrustes,1.1186257956660068
1,dtqw_vs_node2vec,cca_corr,0.9628762342763266
1,dtqw_vs_node2vec,rsa_corr,0.39293786067795006
1,dtqw_vs_node2vec,knn_overlap,0.4333333333333334
